'2018/05/04 10:30:13 +0900', 25.1, 39, 1012, 48.7, 43.20, 22.03, 50.226
'2018/05/04 11:00:39 +0900', 25.1, 39, 1012, 48.7, 46.31, 23.18, 66.961
'2018/05/04 12:00:23 +0900', 25.8, 37, 1012, 48.7, 51.24, 23.89, 47.393
'2018/05/04 12:30:48 +0900', 26.0, 36, 1012, 48.7, 41.86, 25.02, 49.245
'2018/05/04 13:00:07 +0900', 26.1, 35, 1012, 49.8, 51.42, 24.91, 46.952
'2018/05/04 13:30:32 +0900', 26.1, 35, 1011, 49.2, 42.80, 24.62, 48.065
'2018/05/04 14:00:54 +0900', 26.2, 35, 1011, 49.2, 43.03, 18.14, 48.991
'2018/05/04 14:30:13 +0900', 26.2, 34, 1011, 49.2, 41.71, 23.56, 49.039
'2018/05/04 15:00:28 +0900', 26.2, 34, 1011, 49.8, 41.71, 23.56, 49.039
'2018/05/04 15:30:55 +0900', 26.2, 33, 1011, 49.8, 51.44, 23.65, 49.582
'2018/05/04 16:00:10 +0900', 26.3, 34, 1011, 49.2, 42.72, 20.41, 49.631
'2018/05/04 16:30:35 +0900', 26.3, 33, 1012, 49.8, 30.37, 21.96, 66.698
'2018/05/04 17:30:18 +0900', 26.3, 33, 1012, 49.8, 46.33, 24.15, 50.852
'2018/05/04 18:00:32 +0900', 26.3, 33, 1012, 49.8, 46.33, 24.15, 50.852
'2018/05/04 18:30:58 +0900', 26.3, 33, 1012, 49.8, 41.50, 24.03, 54.778
'2018/05/04 19:00:13 +0900', 26.4, 34, 1012, 49.2, 41.13, 19.31, 60.949
'2018/05/04 19:30:40 +0900', 26.4, 35, 1012, 49.8, 48.02, 24.16, 52.079
'2018/05/04 20:30:20 +0900', 25.7, 35, 1013, 49.2, 48.98, 23.88, 49.817
'2018/05/04 21:00:34 +0900', 25.6, 36, 1014, 49.2, 48.98, 23.88, 49.817
'2018/05/04 22:00:20 +0900', 25.7, 38, 1014, 49.2, 46.90, 16.76, 54.348
'2018/05/04 22:30:35 +0900', 25.7, 38, 1014, 49.2, 46.90, 16.76, 54.348
'2018/05/04 23:30:14 +0900', 26.2, 38, 1015, 49.8, 40.08, 19.28, 50.472
'2018/05/05 00:00:28 +0900', 26.5, 37, 1015, 50.3, 40.08, 19.28, 50.472
'2018/05/05 00:30:54 +0900', 26.6, 38, 1015, 49.8, 41.83, 22.10, 50.818
'2018/05/05 01:00:11 +0900', 26.5, 38, 1015, 49.8, 44.91, 24.14, 49.771
'2018/05/05 01:30:36 +0900', 26.1, 39, 1015, 49.2, 31.98, 22.56, 57.853
'2018/05/05 02:00:58 +0900', 26.0, 39, 1015, 49.2, 41.16, 18.61, 57.424
'2018/05/05 02:30:16 +0900', 25.7, 38, 1015, 48.7, 41.90, 23.75, 49.877
'2018/05/05 03:00:30 +0900', 25.5, 37, 1016, 48.7, 41.90, 23.75, 49.877
'2018/05/05 03:30:57 +0900', 25.4, 37, 1016, 48.7, 46.93, 23.35, 56.264
'2018/05/05 04:00:16 +0900', 25.3, 37, 1016, 48.7, 47.81, 23.02, 66.916
'2018/05/05 04:30:30 +0900', 25.3, 37, 1016, 48.7, 47.81, 23.02, 66.916
'2018/05/05 05:00:56 +0900', 25.2, 38, 1017, 48.7, 42.13, 24.74, 49.116
'2018/05/05 05:30:15 +0900', 25.2, 38, 1017, 48.7, 44.28, 23.32, 60.096
'2018/05/05 06:00:28 +0900', 25.2, 38, 1017, 48.7, 44.28, 23.32, 60.096
'2018/05/05 06:30:52 +0900', 25.2, 38, 1017, 48.7, 41.12, 18.34, 50.347
'2018/05/05 07:00:08 +0900', 25.2, 37, 1018, 48.7, 45.70, 16.97, 49.079
'2018/05/05 07:30:34 +0900', 25.2, 37, 1018, 48.2, 51.53, 23.83, 47.533
'2018/05/05 08:30:15 +0900', 25.1, 37, 1018, 48.7, 39.13, 19.78, 50.159
'2018/05/05 09:00:29 +0900', 25.1, 37, 1018, 47.6, 39.13, 19.78, 50.159
'2018/05/05 09:30:51 +0900', 25.1, 37, 1018, 48.7, 41.48, 19.77, 48.974
'2018/05/05 10:00:08 +0900', 25.1, 38, 1018, 48.7, 42.89, 24.44, 49.219
'2018/05/05 10:30:29 +0900', 25.1, 39, 1018, 48.7, 43.25, 18.23, 50.243
'2018/05/05 11:00:55 +0900', 25.2, 39, 1018, 48.7, 50.24, 23.84, 50.615
'2018/05/05 11:30:12 +0900', 25.1, 39, 1018, 48.7, 41.55, 24.01, 50.425
'2018/05/05 12:00:38 +0900', 25.3, 39, 1017, 48.7, 51.23, 24.37, 53.813
'2018/05/05 13:00:23 +0900', 25.2, 38, 1017, 48.7, 49.42, 23.29, 47.67
'2018/05/05 13:30:49 +0900', 25.4, 37, 1016, 48.7, 47.29, 23.93, 49.746
'2018/05/05 14:00:07 +0900', 25.7, 35, 1016, 49.2, 49.71, 23.88, 51.863
'2018/05/05 14:30:28 +0900', 25.9, 34, 1016, 49.2, 38.16, 20.43, 51.268
'2018/05/05 15:00:51 +0900', 26.2, 37, 1016, 49.8, 37.55, 22.31, 60.969
'2018/05/05 15:30:08 +0900', 26.4, 36, 1015, 49.2, 44.35, 24.09, 53.495
'2018/05/05 16:00:34 +0900', 26.5, 35, 1015, 49.8, 42.65, 22.99, 56.018
'2018/05/05 16:30:59 +0900', 26.7, 35, 1015, 49.8, 51.66, 23.58, 50.052
'2018/05/05 17:00:15 +0900', 26.7, 34, 1015, 50.3, 42.67, 18.20, 50.477
'2018/05/05 17:30:30 +0900', 26.8, 34, 1015, 49.8, 42.67, 18.20, 50.477
'2018/05/05 18:00:56 +0900', 26.8, 34, 1015, 50.8, 42.88, 24.68, 49.435
'2018/05/05 18:30:11 +0900', 26.4, 34, 1016, 49.2, 43.48, 18.41, 52.91
